ID,estado_trampa,Fecha
TC-01-024-AG,A,24/08/2020
TL-05-215-DN,A,24/08/2020
TC-06-115-JC,A,24/08/2020
TL-07-065-DG,A,24/08/2020
TL-07-066-DG,A,24/08/2020
TL-02-204-MV,A,24/08/2020
TC-01-100-TR,X,24/08/2020
TC-02-002-DN,A,24/08/2020
TC-03-003-DN,A,24/08/2020
TC-02-045-NN,D,24/08/2020
TC-07-013-AC,A,24/08/2020
TC-03-010-TA,D,24/08/2020
TC-04-037-CR,A,24/08/2020
TL-08-010-PC,A,24/08/2020
TC-06-115-JC,X,25/08/2020
TC-01-100-TR,A,25/08/2020
TC-06-115-JC,A,26/08/2020
TL-07-066-DG,X,26/08/2020
TL-07-066-DG,A,27/08/2020
TC-07-013-AC,X,29/08/2020
TL-07-065-DG,D,30/08/2020
TC-03-003-DN,X,30/08/2020
TC-07-013-AC,D,30/08/2020
TC-04-037-CR,D,30/08/2020
TL-08-010-PC,D,30/08/2020
